number,film,release_date,run_time,film_rating,plot,budget,box_office_us_canada,box_office_other,box_office_worldwide,rotten_tomatoes_score,rotten_tomatoes_counts,metacritic_score,metacritic_counts,cinema_score,imdb_score,imdb_counts,award_type,status,category,value,film_y,year,poster_url,logo_url
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Animated Feature,Award not yet introduced,Genre,Adventure,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Animated Feature,Award not yet introduced,Genre,Animation,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Animated Feature,Award not yet introduced,Genre,Comedy,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Animated Feature,Award not yet introduced,Subgenre,Buddy Comedy,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Animated Feature,Award not yet introduced,Subgenre,Computer Animation,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Animated Feature,Award not yet introduced,Subgenre,Fantasy,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Animated Feature,Award not yet introduced,Subgenre,Supernatural Fantasy,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Animated Feature,Award not yet introduced,Subgenre,Urban Adventure,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Original Screenplay,Nominated,Genre,Adventure,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Original Screenplay,Nominated,Genre,Animation,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
1,Toy Story,1995-11-22,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,30000000,223225679,171210907,394436586,100,96,95,26,A,8.3,1089101,Original Screenplay,Nominated,Genre,Comedy,Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg,https://raw.githubusercontent.com/aeronabrahan/Maven-Pixar-Challenge/main/assets/images/logos/Toy%20Story.png
